Directory,FileName,ScanType,SliceValidity,Manufacturer,ManufacturersModelName,InstitutionName,ScanningSequence,SliceThickness,EchoTime,RepetitionTime,FlipAngle,PhaseEncodingDirection,SpacingBetweenSlices
/media/pablo/Kirk/REDLAT/sub-AF036/dwi,sub-AF036_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF037/anat,sub-AF037_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF037/anat,sub-AF037_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF037/dwi,sub-AF037_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF038/anat,sub-AF038_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF038/anat,sub-AF038_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF038/dwi,sub-AF038_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF039/anat,sub-AF039_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF039/anat,sub-AF039_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF039/dwi,sub-AF039_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF040/anat,sub-AF040_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF040/anat,sub-AF040_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF040/dwi,sub-AF040_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF041/anat,sub-AF041_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF041/anat,sub-AF041_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF041/dwi,sub-AF041_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF043/anat,sub-AF043_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF043/anat,sub-AF043_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF043/dwi,sub-AF043_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF045/anat,sub-AF045_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF045/anat,sub-AF045_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF045/dwi,sub-AF045_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF046/anat,sub-AF046_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF046/anat,sub-AF046_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF046/dwi,sub-AF046_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF049/anat,sub-AF049_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF049/anat,sub-AF049_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF049/dwi,sub-AF049_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF052/anat,sub-AF052_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF052/anat,sub-AF052_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF052/dwi,sub-AF052_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF056/anat,sub-AF056_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF056/anat,sub-AF056_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF056/dwi,sub-AF056_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF058/anat,sub-AF058_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF058/anat,sub-AF058_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF058/anat,sub-AF058_run-2_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF058/anat,sub-AF058_run-2_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF058/anat,sub-AF058_run-3_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF058/dwi,sub-AF058_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF059/anat,sub-AF059_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF059/anat,sub-AF059_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF059/dwi,sub-AF059_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF061/anat,sub-AF061_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF061/anat,sub-AF061_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF061/dwi,sub-AF061_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF063/anat,sub-AF063_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF063/anat,sub-AF063_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF063/dwi,sub-AF063_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF065/anat,sub-AF065_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF065/anat,sub-AF065_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF065/dwi,sub-AF065_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF068/anat,sub-AF068_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF068/anat,sub-AF068_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF068/dwi,sub-AF068_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF069/anat,sub-AF069_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF069/anat,sub-AF069_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF069/dwi,sub-AF069_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF073/anat,sub-AF073_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF073/anat,sub-AF073_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF073/dwi,sub-AF073_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF074/anat,sub-AF074_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF074/anat,sub-AF074_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF074/dwi,sub-AF074_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF075/anat,sub-AF075_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF075/anat,sub-AF075_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF075/dwi,sub-AF075_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF079/anat,sub-AF079_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF079/anat,sub-AF079_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF079/dwi,sub-AF079_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF080/anat,sub-AF080_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF080/anat,sub-AF080_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF080/dwi,sub-AF080_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF081/anat,sub-AF081_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF081/anat,sub-AF081_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF081/dwi,sub-AF081_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF082/anat,sub-AF082_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF082/anat,sub-AF082_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF082/dwi,sub-AF082_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF083/anat,sub-AF083_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF083/dwi,sub-AF083_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF085/anat,sub-AF085_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF085/anat,sub-AF085_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF085/dwi,sub-AF085_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF087/anat,sub-AF087_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF087/anat,sub-AF087_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF087/dwi,sub-AF087_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF093/anat,sub-AF093_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF093/anat,sub-AF093_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF093/dwi,sub-AF093_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF094/anat,sub-AF094_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF094/anat,sub-AF094_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF094/dwi,sub-AF094_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF095/anat,sub-AF095_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF095/anat,sub-AF095_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF095/dwi,sub-AF095_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF096/anat,sub-AF096_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF096/anat,sub-AF096_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF096/dwi,sub-AF096_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF097/anat,sub-AF097_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF097/anat,sub-AF097_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF097/dwi,sub-AF097_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF098/anat,sub-AF098_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF098/anat,sub-AF098_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF098/dwi,sub-AF098_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF104/anat,sub-AF104_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF104/anat,sub-AF104_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF104/dwi,sub-AF104_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF119/anat,sub-AF119_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF119/anat,sub-AF119_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF119/dwi,sub-AF119_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF126/anat,sub-AF126_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF126/anat,sub-AF126_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF126/dwi,sub-AF126_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF135/anat,sub-AF135_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF135/anat,sub-AF135_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF135/dwi,sub-AF135_run-1_dwi.json,DWI,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,EP,2,0.101,10.3,90,j-,2.6
/media/pablo/Kirk/REDLAT/sub-AF144/anat,sub-AF144_run-1_T1w.json,T1,valid,Siemens,Biograph_mMR,CT SCANNER SUR,GR\IR,1,0.00289,2.3,9,No se encontró información,No se encontró información
/media/pablo/Kirk/REDLAT/sub-AF144/anat,sub-AF144_run-1_T2w.json,T2,N/A,Siemens,Biograph_mMR,CT SCANNER SUR,SE\IR,1,0.397,5,120,i,No se encontró información
